,bron_naam,type_bron,MWcapaciteit,capfactor,volfactor,status,Brontemperatuur,Uitkoppel_min,Uitkoppel_max,Productiekosten,targetGMC,xcor,ycor
368,Nuon HWC Almere,STEG,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.49166082419002416,0.5972070224691667
369,Nuon HWC Schuytgraaf,STEG,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6550701202371745,0.43489962175156843
370,Nuon HWC Westervoort,STEG,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6921283757045035,0.43950738534770906
371,Nuon IJmond 1,STEG,103.95,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.3343562700114012,0.6300055916889394
372,Nuon Kanaalweg,STEG,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.4634496899601998,0.48383360937672415
373,Nuon Nieuwegein,STEG,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.4572650729644206,0.4643932667599361
374,Nuon Power Generation BV Diemen,STEG,462.33,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.4414688156560128,0.5793465787518427
375,Nuon Power Generation BV Eemshaven,STEG,437.58,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.9083199165551151,0.9894540304461413
376,Nuon Power Generation BV Hemweg,Kolen,774.18,,,Optie C,70.0,220.25454545454545,250.0,2.0090909090909093,,0.3965523690981059,0.6039784889422353
377,Nuon Power Generation BV Velsen,Gasturbine,706.53,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.3412103166451,0.6291612198345286
378,Nuplex Resins BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.2406171028152274,0.27548815262839493
379,Nutricia Cuijk BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6679528371896372,0.35374097390143483
380,NV Afvalzorg Almere,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5100282998804411,0.5782086557449219
381,NV Nutricia Zoetermeer,Industrie,1.27,,,Optie B,80.0,200.0,200.0,2.0,,0.30357011382207966,0.47347026419485305
382,NV Organon Diosite,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5804857692714707,0.3749327284506142
383,Nyrstar Budel BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5930223606725089,0.17530145310600984
384,Oceanco BV,Industrie,0.05,,,Optie B,80.0,200.0,200.0,2.0,,0.3447932866389647,0.4042482637709421
