gemeente,Stadsverwarming,Totaal woningen,Woningen stadsverwarming
Houten,0.203,20605,4183.0
Huizen,0.0,18973,0.0
Hulst,0.0,13568,0.0
IJsselstein,0.0,14435,0.0
Kaag en Braassem,0.0,11752,0.0
Kampen,0.0,22620,0.0
Kapelle,0.0,5414,0.0
Katwijk,0.0,26886,0.0
Kerkrade,0.0,24012,0.0
Koggenland,0.0,9457,0.0
Krimpen aan den IJssel,0.0,12652,0.0
Krimpenerwaard,0.0,24034,0.0
Laarbeek,0.0,9565,0.0
Landerd,0.0,6422,0.0
Landgraaf,0.0,18209,0.0
Landsmeer,0.0,4895,0.0
Langedijk,0.10300000000000001,11675,1203.0
Lansingerland,0.051,24210,1235.0
Laren,0.0,5391,0.0
Leeuwarden,0.03,63358,1901.0
Leiden,0.172,60751,10449.0
Leiderdorp,0.057,12371,705.0
Leidschendam-Voorburg,0.0,37090,0.0
Lelystad,0.156,33613,5244.0
Leudal,0.0,15998,0.0
Leusden,0.0,13088,0.0
Lingewaard,0.0,19851,0.0
Lisse,0.0,10378,0.0
Lochem,0.0,15143,0.0
Loon op Zand,0.0,10388,0.0
Lopik,0.0,5775,0.0
Loppersum,0.0,4672,0.0
Losser,0.0,9797,0.0
Maasdriel,0.0,10131,0.0
Maasgouw,0.0,10858,0.0
Maassluis,0.0,15223,0.0
Maastricht,0.031,62514,1938.0
Medemblik,0.0,19121,0.0
Meerssen,0.0,8634,0.0
Meierijstad,0.0,34602,0.0
Meppel,0.0,15934,0.0
Middelburg,0.0,23809,0.0
Midden-Delfland,0.031,8039,249.0
Midden-Drenthe,0.0,14347,0.0
Midden-Groningen,0.0,28185,0.0
Mill en Sint Hubert,0.0,4644,0.0
Moerdijk,0.0,16665,0.0
Molenlanden,0.0,17249,0.0
Montferland,0.0,15940,0.0
Montfoort,0.0,5746,0.0
Mook en Middelaar,0.0,3593,0.0
Neder-Betuwe,0.0,8863,0.0
Nederweert,0.0,7478,0.0
Nieuwegein,0.528,29593,15625.0
Nieuwkoop,0.0,11518,0.0
Nijkerk,0.0,17328,0.0
Nijmegen,0.049,82337,4035.0
Nissewaard,0.0,39149,0.0
Noardeast-Fryslan,0.0,20781,0.0
Noord-Beveland,0.0,4476,0.0
Noordenveld,0.0,14836,0.0
Noordoostpolder,0.0,20170,0.0
Noordwijk,0.0,19946,0.0
Nuenen Gerwen en Nederwetten,0.0,10303,0.0
Nunspeet,0.0,10968,0.0
Oegstgeest,0.09,10898,981.0
Oirschot,0.0,8056,0.0
Oisterwijk,0.0,11628,0.0
Oldambt,0.0,18605,0.0
Oldebroek,0.0,9326,0.0
Oldenzaal,0.0,14633,0.0
Olst-Wijhe,0.0,7760,0.0
Ommen,0.0,7533,0.0
Oost Gelre,0.0,12914,0.0
Oosterhout,0.035,25162,881.0
Ooststellingwerf,0.0,11272,0.0
Oostzaan,0.0,4115,0.0
Opmeer,0.0,4861,0.0
Opsterland,0.0,13062,0.0
Oss,0.0,40563,0.0
Oude IJsselstreek,0.0,17410,0.0
Ouder-Amstel,0.0,6307,0.0
Oudewater,0.0,4308,0.0
Overbetuwe,0.0,20002,0.0
Papendrecht,0.078,14412,1124.0
Peel en Maas,0.0,18402,0.0
Pekela,0.0,5776,0.0
Pijnacker-Nootdorp,0.11199999999999999,21549,2413.0
Purmerend,0.6859999999999999,36794,25241.0
Putten,0.0,9786,0.0
Raalte,0.0,15940,0.0
Reimerswaal,0.0,9329,0.0
Renkum,0.0,15086,0.0
Renswoude,0.0,2133,0.0
Reusel-De Mierden,0.0,5497,0.0
Rheden,0.0,21277,0.0
Rhenen,0.0,8230,0.0
Ridderkerk,0.0,21054,0.0
Rijssen-Holten,0.0,14804,0.0
Rijswijk,0.0,27577,0.0
Roerdalen,0.0,9501,0.0
Roermond,0.0,28418,0.0
Roosendaal,0.0,35443,0.0
Rotterdam,0.17300000000000001,320285,55409.0
Rozendaal,0.0,695,0.0
Rucphen,0.0,9852,0.0
Schagen,0.0,20351,0.0
Scherpenzeel,0.0,4011,0.0
Schiedam,0.0,37755,0.0
Schiermonnikoog,0.0,590,0.0
Schouwen-Duiveland,0.0,16933,0.0
Simpelveld,0.0,5191,0.0
Sint Anthonis,0.0,4873,0.0
Sint-Michielsgestel,0.0,12209,0.0
Sittard-Geleen,0.0,46805,0.0
Sliedrecht,0.0,10910,0.0
Sluis,0.0,14106,0.0
Smallingerland,0.0,25862,0.0
Soest,0.0,20758,0.0
Someren,0.0,8142,0.0
Son en Breugel,0.0,7201,0.0
Stadskanaal,0.0,15290,0.0
Staphorst,0.0,5948,0.0
Stede Broec,0.0,9266,0.0
Steenbergen,0.0,10473,0.0
Steenwijkerland,0.0,20164,0.0
Stein,0.0,11803,0.0
Stichtse Vecht,0.0,28874,0.0
Sudwest-Fryslan,0.0,42493,0.0
Terneuzen,0.0,27029,0.0
Terschelling,0.0,2309,0.0
Texel,0.0,6654,0.0
Teylingen,0.0,16195,0.0
Tholen,0.0,10974,0.0
Tiel,0.0,18169,0.0
Tilburg,0.27,101230,27332.0
Tubbergen,0.0,8663,0.0
Twenterand,0.0,13797,0.0
Tynaarlo,0.0,14591,0.0
Tytsjerksteradiel,0.0,14278,0.0
Uden,0.0,19039,0.0
Uitgeest,0.0,5717,0.0
Uithoorn,0.0,12839,0.0
Urk,0.0,6670,0.0
Utrecht,0.285,161973,46162.0
Utrechtse Heuvelrug,0.0,21937,0.0
Vaals,0.0,5827,0.0
Valkenburg aan de Geul,0.0,8322,0.0
Valkenswaard,0.0,14817,0.0
Veendam,0.0,12848,0.0
Veenendaal,0.0,28374,0.0
Veere,0.0,10974,0.0
Veldhoven,0.0,19960,0.0
Velsen,0.0,31258,0.0
Venlo,0.0,47631,0.0
Venray,0.0,19162,0.0
